22:05:27:12:11:24,8928,1032,-704,1272416875,896221,9771,-9725,-330,1235,-715,1140871375,896156,9794,-9759,-404,280478,0,7,-554,459,0,0,0,254227,-86981,-86827,510178,528537,19949,10,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:25,8992,1058,-727,1248882500,895760,9780,-9727,-383,1175,-696,1177359125,895768,9784,-9730,-419,280509,0,9,-557,455,0,0,0,254455,-86997,-86837,510161,528642,20072,14,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:26,9124,1060,-733,1238169000,895559,9769,-9729,-401,1146,-719,1184106500,895760,9777,-9734,-410,280541,0,7,-558,467,0,0,0,254607,-86970,-86809,510164,528736,19931,13,0,101502,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:27,9191,1081,-750,1219493125,895750,9776,-9727,-391,1123,-715,1204553375,896222,9771,-9712,-361,280574,0,5,-558,462,0,0,0,254851,-86945,-86816,510177,528767,19926,11,0,101502,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:28,9328,1059,-716,1212592625,895659,9776,-9720,-391,1129,-732,1197425875,895839,9776,-9701,-400,280607,0,8,-558,456,0,0,0,255004,-86995,-86812,510154,528783,20015,8,0,101501,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:30,9398,1101,-716,1185894250,895186,9781,-9729,-456,1108,-716,1201566875,895251,9781,-9694,-446,280637,0,6,-562,457,0,0,0,255240,-86976,-86829,510147,528842,19940,14,0,101504,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:31,9469,1156,-717,1190409500,895875,9803,-9726,-402,1230,-740,1157525625,895884,9803,-9721,-415,280682,0,3,-560,454,0,0,0,255443,-86712,-86563,510147,528899,19929,12,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:32,9615,1215,-727,1188549750,896396,9809,-9742,-364,1280,-747,1151622000,896404,9810,-9727,-376,280727,0,11,-559,458,0,0,0,255630,-86677,-86564,510149,529077,19928,14,0,101502,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:34,9689,1211,-739,1185036625,896738,9813,-9740,-331,1259,-741,1172290625,896477,9810,-9735,-367,280778,0,8,-557,459,0,0,0,255947,-86679,-86564,510147,529272,19925,12,0,101502,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:35,9765,1220,-751,1186026625,896631,9811,-9758,-347,1300,-771,1156533625,896671,9819,-9746,-360,280826,0,4,-556,454,0,0,0,256261,-86696,-86543,510144,529488,19963,12,0,101501,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:37,9920,1212,-756,1207787250,896841,9813,-9751,-324,1290,-755,1157359375,896454,9825,-9752,-384,280876,0,2,-564,462,0,0,0,256594,-86702,-86535,510144,529649,19945,11,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:38,10000,1201,-728,1204992625,896865,9815,-9746,-320,1281,-760,1167716875,896601,9824,-9742,-368,280924,0,5,-559,464,0,0,0,256814,-86693,-86552,510144,529787,19931,14,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
