

#mb 22:05:27:11:47:07 (start time)
#id 347252 (device id)
#ta 7221 (tia amplification, tia input channel, signal range, dsp mode)
#1t 2f [3vi_ma 4vi_mi 5mag 6pha 7vv_ma 8vv_mi 9cor][10vi_ma 11vi_mi 12mag 13pha 14vv_ma 15vv_mi 16cor][17t_pcb 18t_ther][19,20,21mag][22,23,24acc][25,26,27ext(t,light,hum)][28dv1 29dv2 30rf 31tr 32sp 33pr 34sm 35st 36lght 37empt 38empt 39empt 40empt 41empt 42empt 43empt 44empt 45empt]
22:05:27:11:47:26 5787 1152 -761 1221626875 897540 9830 -9733 -238 1200 -753 1202470625 897421 9834 -9731 -260 292200 0 200 -126 490 0 0 0 267766 -86293 -86175 510139 510154 19977 9 0 101515 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:28 5896 1086 -734 1261125750 897665 9817 -9734 -215 1243 -754 1171439375 897713 9839 -9757 -237 292248 0 202 -125 492 0 0 0 267783 -86340 -86193 510137 510151 19975 9 0 101515 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:29 6009 1098 -722 1244839250 897717 9813 -9742 -213 1195 -734 1218038000 897567 9837 -9737 -243 292295 0 202 -123 495 0 0 0 268392 -86337 -86197 510136 510152 19966 12 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:30 6097 1151 -730 1228699625 897807 9807 -9745 -213 1217 -724 1205469625 897510 9833 -9737 -256 292350 0 202 -127 491 0 0 0 269124 -86351 -86226 510136 510152 19976 14 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:32 6188 1135 -749 1227622250 898153 9801 -9744 -178 1216 -747 1201770750 897485 9815 -9770 -259 292398 0 201 -126 494 0 0 0 269643 -86296 -86227 510137 510153 19971 12 0 101519 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:33 6313 1133 -745 1245338250 897505 9783 -9756 -240 1175 -733 1219712000 897851 9807 -9764 -217 292450 0 206 -132 492 0 0 0 270007 -86343 -86196 510137 510150 19971 9 0 101518 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:34 6410 1108 -734 1261614625 897724 9776 -9744 -215 1184 -724 1216740000 897985 9812 -9757 -204 292505 0 206 -126 496 0 0 0 270338 -86379 -86229 510137 510151 20013 12 0 101517 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:36 6510 1160 -732 1228281000 897084 9781 -9756 -295 1184 -730 1212738625 897932 9801 -9753 -209 292551 0 204 -131 485 0 0 0 270655 -86328 -86229 510135 510151 19965 11 0 101517 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:37 6613 1128 -719 1235873875 897164 9775 -9760 -278 1221 -726 1195595375 897660 9803 -9755 -246 292599 0 200 -129 482 0 0 0 271178 -86387 -86252 510138 510152 19963 12 0 101518 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:38 6684 1165 -731 1216557375 897271 9775 -9759 -273 1282 -714 1172048375 897603 9809 -9759 -265 292651 0 208 -128 486 0 0 0 271991 -86328 -86259 510137 510150 19975 12 0 101518 0 0 0 0 0 0 0 0 0 0 0 0
